length,total,wins,win_rate
45,1,1,100.0
27,1,1,100.0
24,3,3,100.0
31,1,1,100.0
25,4,4,100.0
28,2,2,100.0
23,16,16,100.0
19,390,386,98.97
21,88,87,98.86
20,171,169,98.83
17,1474,1449,98.3
16,2534,2484,98.03
18,743,728,97.98
15,4454,4322,97.04
14,6896,6587,95.52
22,34,32,94.12
13,10118,9448,93.38
12,13769,12178,88.45
11,17823,14677,82.35
10,21657,15879,73.32
9,24495,15700,64.09
8,24119,12554,52.05
1,2,1,50.0
7,19156,7507,39.19
6,13112,3757,28.65
2,41,10,24.39
5,6456,1268,19.64
4,2580,378,14.65
3,531,60,11.3
Total,170671,109689,64.27
